174,450,,,0,RFC5321 Mailbox unavailable,retry,0,0,
175,451,,,0,RFC5321 Local error in processing,retry,0,0,
176,452,,,0,RFC5321 Insufficient system storage,retry,0,0,
177,454,,,0,RFC3207 TLS not available,retry,0,0,
178,455,,,0,RFC5321 Server unable to accomodate parameters,retry,0,0,
179,500,,,0,RFC5321 Syntax error command unrecognized,no_action,0,0,
180,501,,,0,RFC5321 Syntax error in parameters or arguments,no_action,0,0,
181,502,,,0,RFC5321 Command not implemented,no_action,0,0,
182,503,,,0,RFC5321 Bad sequence of commands,no_action,0,0,
183,521,,,0,RFC7504 Server does not accept mail,suppress,0,0,
184,530,,,0,RFC4954 Must issue a STARTTLS command first,no_action,0,0,
185,550,,,0,RFC5321 Mailbox unavailable,suppress,0,0,
186,551,,,0,RFC5321 User not local,suppress,0,0,
187,552,,,0,RFC5321 Exceeded storage allocation,no_action,0,0,
188,553,,,0,RFC5321 Mailbox name not allowed,suppress,0,0,
189,554,,,0,RFC5321 Transaction failed,no_action,0,0,
190,555,,,0,RFC5321 Parameters not recognized or not implemented,no_action,0,0,
191,556,,,0,RFC7504 Recipient address has null MX,no_action,0,0,
192,0,5.1.1,,0,RFC3463 Bad destination mailbox address,suppress,0,0,
193,0,5.1.2,,0,RFC3463 Bad destination system address,suppress,0,0,
194,0,5.1.3,,0,RFC3463 Bad destination mailbox address syntax,suppress,0,0,
195,0,5.1.4,,0,RFC3463 Destination mailbox address ambiguous,no_action,0,0,
196,0,5.1.6,,0,RFC3463 Destination mailbox has moved,suppress,0,0,
197,0,4.1.7,,0,RFC3463 Bad senders mailbox address syntax,no_action,0,0,
198,0,5.1.7,,0,RFC3463 Bad senders mailbox address syntax,no_action,0,0,
199,0,4.1.8,,0,RFC3463 Bad senders system address,no_action,0,0,
200,0,5.1.8,,0,RFC3463 Bad senders system address,no_action,0,0,
201,0,5.1.9,,0,RFC3886 Message relayed to non-compliant mailer,no_action,0,0,
202,0,5.1.10,,0,RFC7505 Recipient address has null MX,no_action,0,0,
203,0,4.2.0,,0,RFC3463 Other or undefined mailbox status,retry,0,0,
204,0,5.2.0,,0,RFC3463 Other or undefined mailbox status,no_action,0,0,
205,0,4.2.1,,0,RFC3463 Mailbox disabled not accepting messages,retry,0,0,
206,0,5.2.1,,0,RFC3463 Mailbox disabled not accepting messages,suppress,0,0,
207,0,4.2.2,,0,RFC3463 Mailbox full,retry,0,0,
208,0,5.2.2,,0,RFC3463 Mailbox full,no_action,0,0,
209,0,5.2.3,,0,RFC3463 Message length exceeds administrative limit,no_action,0,0,
210,0,5.2.4,,0,RFC3463 Mailing list expansion problem,no_action,0,0,
211,0,4.3.0,,0,RFC3463 Other or undefined mail system status,retry,0,0,
212,0,5.3.0,,0,RFC3463 Other or undefined mail system status,no_action,0,0,
213,0,4.3.1,,0,RFC3463 Mail system full,retry,0,0,
214,0,4.3.2,,0,RFC3463 System not accepting network messages,retry,0,0,
215,0,5.3.2,,0,RFC3463 System not accepting network messages,suppress,0,0,
216,0,4.3.3,,0,RFC3463 System not capable of selected features,no_action,0,0,
217,0,5.3.3,,0,RFC3463 System not capable of selected features,no_action,0,0,
218,0,5.3.4,,0,RFC3463 Message too big for system,no_action,0,0,
219,0,4.3.5,,0,RFC3463 System incorrectly configured,no_action,0,0,
220,0,5.3.5,,0,RFC3463 System incorrectly configured,no_action,0,0,
221,0,4.4.0,,0,RFC3463 Other or undefined network or routing status,retry,0,0,
222,0,5.4.0,,0,RFC3463 Other or undefined network or routing status,no_action,0,0,
223,0,5.4.1,,0,RFC3463 No answer from host,no_action,0,0,
224,0,4.4.2,,0,RFC3463 Bad connection,retry,0,0,
225,0,5.4.2,,0,RFC3463 Bad connection,no_action,0,0,
226,0,4.4.3,,0,RFC3463 Directory server failure,retry,0,0,
227,0,5.4.3,,0,RFC3463 Directory server failure,no_action,0,0,
228,0,4.4.4,,0,RFC3463 Unable to route,retry,0,0,
229,0,5.4.4,,0,RFC3463 Unable to route,no_action,0,0,
230,0,4.4.5,,0,RFC3463 Mail system congestion,retry,0,0,
